orig_family,orig_name,orig_author,orig_binomial,orig_genus,orig_species,orig_infraspecies_rank,orig_infraspecies,sp6,wcvp_matched_name,wcvp_matched_authors,wcvp_matched_rank,wcvp_matched_status,wcvp_matched_plant_name_id,wcvp_matched_ipni_id,match_similarity,wcvp_accepted_plant_name_id,wcvp_accepted_powo_id,wcvp_accepted_ipni_id,wcvp_accepted_name,wcvp_accepted_name_genus,wcvp_accepted_name_species,wcvp_accepted_name_rank,wcvp_accepted_family,wcvp_accepted_name_infraspecific_rank,wcvp_accepted_name_infraspecies,wcvp_accepted_author,wcvp_accepted_authority,wcvp_lifeform_description,origmatches,row_id,wcvp_matched_name_gbif_id,wcvp_matched_name_gbif_scientificName,wcvp_matched_name_gbif_matchtype,wcvp_matched_name_gbif_status,wcvp_matched_name_gbif_acceptedScientificName,wcvp_accepted_name_gbif_id,wcvp_accepted_name_gbif_scientificName,wcvp_accepted_name_gbif_matchtype,wcvp_accepted_name_gbif_status,wcvp_accepted_name_gbif_acceptedScientificName
Primulaceae,Ardisia guianensis,(Aubl.) Mez,Ardisia guianensis,Ardisia,guianensis,,,ARDIGU,Ardisia guianensis,(Aubl.) Mez,Species,Accepted,2648019,18168-2,1,2648019,18168-2,18168-2,Ardisia guianensis,Ardisia,guianensis,Species,Primulaceae,,,Mez,(Aubl.) Mez,shrub or tree,TRUE,21,5558301,Ardisia guianensis (Aubl.) Mez,EXACT,ACCEPTED,,5558301,Ardisia guianensis (Aubl.) Mez,EXACT,ACCEPTED,
Arecaceae,Astrocaryum standleyanum,L.H.Bailey,Astrocaryum standleyanum,Astrocaryum,standleyanum,,,AST1ST,Astrocaryum standleyanum,L.H.Bailey,Species,Accepted,17579,25887-2,1,17579,25887-2,25887-2,Astrocaryum standleyanum,Astrocaryum,standleyanum,Species,Arecaceae,,,L.H.Bailey,L.H.Bailey,tree,TRUE,22,2738130,Astrocaryum standleyanum L.H.Bailey,EXACT,ACCEPTED,,2738130,Astrocaryum standleyanum L.H.Bailey,EXACT,ACCEPTED,
Arecaceae,Bactris barronis,L.H.Bailey,Bactris barronis,Bactris,barronis,,,BACTBA,Bactris barronis,L.H.Bailey,Species,Accepted,18761,28392-2,1,18761,28392-2,28392-2,Bactris barronis,Bactris,barronis,Species,Arecaceae,,,L.H.Bailey,L.H.Bailey,shrub or tree,TRUE,23,2732931,Bactris barronis L.H.Bailey,EXACT,ACCEPTED,,2732931,Bactris barronis L.H.Bailey,EXACT,ACCEPTED,
Arecaceae,Bactris coloniata,L.H.Bailey,Bactris coloniata,Bactris,coloniata,,,BACTC1,Bactris coloniata,L.H.Bailey,Species,Accepted,18798,28416-2,1,18798,28416-2,28416-2,Bactris coloniata,Bactris,coloniata,Species,Arecaceae,,,L.H.Bailey,L.H.Bailey,shrub or tree,TRUE,24,2733315,Bactris coloniata L.H.Bailey,EXACT,ACCEPTED,,2733315,Bactris coloniata L.H.Bailey,EXACT,ACCEPTED,
Arecaceae,Bactris coloradonis,L.H.Bailey,Bactris coloradonis,Bactris,coloradonis,,,BACTC2,Bactris coloradonis,L.H.Bailey,Species,Accepted,18799,28417-2,1,18799,28417-2,28417-2,Bactris coloradonis,Bactris,coloradonis,Species,Arecaceae,,,L.H.Bailey,L.H.Bailey,shrub or tree,TRUE,25,2733336,Bactris coloradonis L.H.Bailey,EXACT,ACCEPTED,,2733336,Bactris coloradonis L.H.Bailey,EXACT,ACCEPTED,
Arecaceae,Bactris gracilior,Burret,Bactris gracilior,Bactris,gracilior,,,BACTGR,Bactris gracilior,Burret,Species,Accepted,18871,28459-2,1,18871,28459-2,28459-2,Bactris gracilior,Bactris,gracilior,Species,Arecaceae,,,Burret,Burret,shrub or tree,TRUE,26,2733358,Bactris gracilior Burret,EXACT,ACCEPTED,,2733358,Bactris gracilior Burret,EXACT,ACCEPTED,
Arecaceae,Bactris major,Jacq.,Bactris major,Bactris,major,,,BACTMA,Bactris major,Jacq.,Species,Accepted,18943,664668-1,1,18943,664668-1,664668-1,Bactris major,Bactris,major,Species,Arecaceae,,,Jacq.,Jacq.,shrub or tree,TRUE,27,2733004,Bactris major Jacq.,EXACT,ACCEPTED,,2733004,Bactris major Jacq.,EXACT,ACCEPTED,
Arecaceae,Bactris maraja,Mart.,Bactris maraja,Bactris,maraja,,,BACTM1,Bactris maraja,Mart.,Species,Accepted,18948,28503-2,1,18948,28503-2,28503-2,Bactris maraja,Bactris,maraja,Species,Arecaceae,,,Mart.,Mart.,shrub or tree,TRUE,28,2732946,Bactris maraja Mart.,EXACT,ACCEPTED,,2732946,Bactris maraja Mart.,EXACT,ACCEPTED,
Arecaceae,Bactris obovata,H.Wendl. ex Schaedtler,Bactris obovata,Bactris,obovata,,,,Bactris obovata,H.Wendl. ex Schaedtler,Species,Accepted,18993,664697-1,1,18993,664697-1,664697-1,Bactris obovata,Bactris,obovata,Species,Arecaceae,,,H.Wendl. ex Schaedtler,H.Wendl. ex Schaedtler,shrub,TRUE,29,8427281,Bactris obovata H.Wendl. ex Schaedtler,EXACT,ACCEPTED,,8427281,Bactris obovata H.Wendl. ex Schaedtler,EXACT,ACCEPTED,
Lauraceae,Beilschmiedia tovarensis,(Klotzsch & H.Karst. ex Meisn.) Sachiko Nishida,Beilschmiedia tovarensis,Beilschmiedia,tovarensis,,,BEILPE,Beilschmiedia tovarensis,(Klotzsch & H.Karst. ex Meisn.) Sachiko Nishida,Species,Accepted,2672682,1116029-2,1,2672682,1116029-2,1116029-2,Beilschmiedia tovarensis,Beilschmiedia,tovarensis,Species,Lauraceae,,,Sachiko Nishida,(Klotzsch & H.Karst. ex Meisn.) Sachiko Nishida,tree,TRUE,30,4182784,Beilschmiedia tovarensis (Meisn.) Sach.Nishida,EXACT,ACCEPTED,,4182784,Beilschmiedia tovarensis (Meisn.) Sach.Nishida,EXACT,ACCEPTED,
Bixaceae,Bixa urucurana,Willd.,Bixa urucurana,Bixa,urucurana,,,BIXAUR,Bixa urucurana,Willd.,Species,Accepted,22282,111504-1,1,22282,111504-1,111504-1,Bixa urucurana,Bixa,urucurana,Species,Bixaceae,,,Willd.,Willd.,tree,TRUE,31,4087112,Bixa urucurana Willd.,EXACT,ACCEPTED,,4087112,Bixa urucurana Willd.,EXACT,ACCEPTED,
