current_binomial;current_name;source_current_name;current_authority;sp6;sp4;wcvp_matched_authors;wcvp_matched_name;wcvp_matched_plant_name_id;wcvp_matched_ipni_id;wcvp_matched_status;wcvp_match_similarity;wcvp_accepted_name;wcvp_accepted_binomial;wcvp_accepted_family;wcvp_accepted_authority;wcvp_accepted_plant_name_id;wcvp_accepted_powo_id;wcvp_accepted_ipni_id;wcvp_accepted_lifeform;garwood_name;garwood_synonyms;garwood_lifeform;zotz_name;census_plot;BCI;garwood_BCNM;liana_name;woody_forestgeo;forestgeo_habit;source_list;wcvp_matched_name_gbif_id;wcvp_matched_name_gbif_scientificName;wcvp_matched_name_gbif_matchtype;wcvp_matched_name_gbif_status;wcvp_matched_name_gbif_acceptedScientificName;wcvp_accepted_name_gbif_id;wcvp_accepted_name_gbif_scientificName;wcvp_accepted_name_gbif_matchtype;wcvp_accepted_name_gbif_status;wcvp_accepted_name_gbif_acceptedScientificName
Isachne polygonoides;Isachne polygonoides;Garwood2009;(Lam.) Döll;;;(Lam.) Döll;Isachne polygonoides;420495;406041-1;Accepted;1;Isachne polygonoides;Isachne polygonoides;Poaceae;(Lam.) Döll;420495;406041-1;406041-1;annual;Isachne polygonoides;;Hw;;;VRAI;FAUX;;FAUX;;Garwood2009;7813673;Isachne polygonoides (Lam.) Döll;EXACT;ACCEPTED;;7813673;Isachne polygonoides (Lam.) Döll;EXACT;ACCEPTED;
Ischaemum rugosum;Ischaemum rugosum;Garwood2009;Salisb.;;;Salisb.;Ischaemum rugosum;420816;406281-1;Accepted;1;Ischaemum rugosum;Ischaemum rugosum;Poaceae;Salisb.;420816;406281-1;406281-1;annual or perennial;Ischaemum rugosum;;Hw;;;VRAI;FAUX;;FAUX;;Garwood2009;2702462;Ischaemum rugosum Salisb.;EXACT;ACCEPTED;;2702462;Ischaemum rugosum Salisb.;EXACT;ACCEPTED;
Ischaemum timorense;Ischaemum timorense;Garwood2009;Kunth;;;Kunth;Ischaemum timorense;420853;406315-1;Accepted;1;Ischaemum timorense;Ischaemum timorense;Poaceae;Kunth;420853;406315-1;406315-1;annual or perennial;Ischaemum timorense;Ischaemum indicum (Houtt.) Merr. sensu Croat (1978);Hw;;;VRAI;FAUX;;FAUX;;Garwood2009;2702458;Ischaemum timorense Kunth;EXACT;ACCEPTED;;2702458;Ischaemum timorense Kunth;EXACT;ACCEPTED;
Ischnosiphon leucophaeus;Ischnosiphon leucophaeus subsp. ramosus;Garwood2009;(Poepp. & Endl.) Körn.;;;L.Andersson;Ischnosiphon leucophaeus;250031;797112-1;Accepted;1;Ischnosiphon leucophaeus;Ischnosiphon leucophaeus;Marantaceae;(Poepp. & Endl.) Körn.;250031;797112-1;797112-1;rhizomatous geophyte;Ischnosiphon leucophaeus subsp. ramosus;;H;;;VRAI;FAUX;;FAUX;;Garwood2009;2761089;Ischnosiphon leucophaeus (Poepp. & Endl.) Körn.;EXACT;ACCEPTED;;2761089;Ischnosiphon leucophaeus (Poepp. & Endl.) Körn.;EXACT;ACCEPTED;
Isertia haenkeana;Isertia haenkeana;ForestGeo;DC.;iserha;ISEH;DC.;Isertia haenkeana;102793;753632-1;Accepted;1;Isertia haenkeana;Isertia haenkeana;Rubiaceae;DC.;102793;753632-1;753632-1;tree;Isertia haenkeana;;Sw;;;VRAI;FAUX;;VRAI;Freestanding;Garwood2009;2903537;Isertia haenkeana DC.;EXACT;ACCEPTED;;2903537;Isertia haenkeana DC.;EXACT;ACCEPTED;
Ixora chinensis;Ixora chinensis;ForestGeo;Lam.;ixorco;;Lam.;Ixora chinensis;103348;753834-1;Accepted;1;Ixora chinensis;Ixora chinensis;Rubiaceae;Lam.;103348;753834-1;753834-1;shrub;Ixora coccinea;;S;;;VRAI;FAUX;;VRAI;Freestanding;Garwood2009;2905600;Ixora chinensis Lam.;EXACT;ACCEPTED;;2905600;Ixora chinensis Lam.;EXACT;ACCEPTED;
Ixora miquelii;Ixora miquelii;ForestGeo;Bremek.;ixorfl;;Bremek.;Ixora miquelii;103752;754211-1;Accepted;1;Ixora miquelii;Ixora miquelii;Rubiaceae;Bremek.;103752;754211-1;754211-1;shrub;;;;;gigante_plot;FAUX;;;VRAI;Freestanding;Plot_census;2905283;Ixora miquelii Bremek.;EXACT;ACCEPTED;;2905283;Ixora miquelii Bremek.;EXACT;ACCEPTED;
Jacaranda copaia;Jacaranda copaia;ForestGeo;(Aubl.) D. Don;jac1co;JACC;(Aubl.) D.Don;Jacaranda copaia;317413;109789-1;Accepted;1;Jacaranda copaia;Jacaranda copaia;Bignoniaceae;(Aubl.) D.Don;317413;109789-1;109789-1;tree;Jacaranda copaia subsp. spectabilis;;T;;bci50ha, bci10ha, bci25ha, P14, Zetek, Drayton, Pearson, P10, gigante1, gigante2, gigante_plot;VRAI;FAUX;;VRAI;Freestanding;Garwood2009;7298763;Jacaranda copaia (Aubl.) D.Don;EXACT;ACCEPTED;;7298763;Jacaranda copaia (Aubl.) D.Don;EXACT;ACCEPTED;
Jacaratia spinosa;Jacaratia spinosa;ForestGeo;(Aubl.) A. DC.;jac2sp;JACS;(Aubl.) A.DC.;Jacaratia spinosa;2870238;30104966-2;Accepted;1;Jacaratia spinosa;Jacaratia spinosa;Caricaceae;(Aubl.) A.DC.;2870238;30104966-2;30104966-2;tree;Jacaratia spinosa;;M;;bci25ha;VRAI;FAUX;;VRAI;Freestanding;Garwood2009;7269688;Jacaratia spinosa (Aubl.) A.DC.;EXACT;ACCEPTED;;7269688;Jacaratia spinosa (Aubl.) A.DC.;EXACT;ACCEPTED;
Jatropha curcas;Jatropha curcas;ForestGeo;L.;jatrcu;;L.;Jatropha curcas;104552;131462-2;Accepted;1;Jatropha curcas;Jatropha curcas;Euphorbiaceae;L.;104552;131462-2;131462-2;shrub or tree;Jatropha curcas;;S;;;VRAI;FAUX;;VRAI;Freestanding;Garwood2009;3072953;Jatropha curcas L.;EXACT;ACCEPTED;;3072953;Jatropha curcas L.;EXACT;ACCEPTED;
Jupunba barbouriana;Jupunba barbouriana;ForestGeo;(Standl.) M.V.B. Soares, M.P. Morim & Iganci;pit1ba;ABAB;(Standl.) M.V.B.Soares, M.P.Morim & Iganci;Jupunba barbouriana;3274605;77218544-1;Accepted;1;Jupunba barbouriana;Jupunba barbouriana;Fabaceae;(Standl.) M.V.B.Soares, M.P.Morim & Iganci;3274605;77218544-1;77218544-1;tree;Abarema barbouriana var. barbouriana;Pithecellobium barbourianum Standl.;M;;Zetek, gigante1, gigante2, gigante_plot;VRAI;FAUX;;VRAI;Freestanding;Garwood2009;11659250;Jupunba barbouriana (Standl.) M.V.B.Soares, M.P.Morim & Iganci;EXACT;ACCEPTED;;11659250;Jupunba barbouriana (Standl.) M.V.B.Soares, M.P.Morim & Iganci;EXACT;ACCEPTED;
Jupunba macradenia;Jupunba macradenia;ForestGeo;(Pittier) M.V.B. Soares, M.P. Morim & Iganci;pit1ma;PITM;(Pittier) M.V.B.Soares, M.P.Morim & Iganci;Jupunba macradenia;3274586;77218795-1;Accepted;1;Jupunba macradenia;Jupunba macradenia;Fabaceae;(Pittier) M.V.B.Soares, M.P.Morim & Iganci;3274586;77218795-1;77218795-1;tree;Abarema macradenia;Pithecellobium macradenium Pittier;T;;bci50ha, P11, Zetek, Pearson;VRAI;FAUX;;VRAI;Freestanding;Garwood2009;11919516;Jupunba macradenia (Pittier) M.V.B.Soares, M.P.Morim & Iganci;EXACT;ACCEPTED;;11919516;Jupunba macradenia (Pittier) M.V.B.Soares, M.P.Morim & Iganci;EXACT;ACCEPTED;
Justicia graciliflora;Justicia graciliflora;ForestGeo;(Standl.) D.N. Gibson;justgr;JUSG;(Standl.) D.N.Gibson;Justicia graciliflora;2330921;132909-2;Accepted;1;Justicia graciliflora;Justicia graciliflora;Acanthaceae;(Standl.) D.N.Gibson;2330921;132909-2;132909-2;;Justicia graciliflora;;V;;;VRAI;FAUX;Justicia graciliflora;VRAI;Climbing;Garwood2009;3779183;Justicia graciliflora (Standl.) D.N.Gibson;EXACT;ACCEPTED;;3779183;Justicia graciliflora (Standl.) D.N.Gibson;EXACT;ACCEPTED;
Justicia pectoralis;Justicia pectoralis var. pectoralis;Garwood2009;Jacq.;;;Jacq.;Justicia pectoralis;2329088;133027-2;Synonym;1;Dianthera pectoralis;Dianthera pectoralis;Acanthaceae;(Jacq.) J.F.Gmel.;2763694;47290-1;47290-1;subshrub or helophyte;Justicia pectoralis var. pectoralis;;Hw;;;VRAI;FAUX;;FAUX;;Garwood2009;3173087;Justicia pectoralis Jacq.;EXACT;SYNONYM;Dianthera pectoralis (Jacq.) J.F.Gmel.;7624130;Dianthera pectoralis (Jacq.) J.F.Gmel.;EXACT;ACCEPTED;
Koanophyllon wetmorei;Koanophyllon wetmorei;ForestGeo;(B.L. Rob.) R.M. King & H. Rob.;koanwe;KOAW;(B.L.Rob.) R.M.King & H.Rob.;Koanophyllon wetmorei;3132858;133634-2;Accepted;1;Koanophyllon wetmorei;Koanophyllon wetmorei;Asteraceae;(B.L.Rob.) R.M.King & H.Rob.;3132858;133634-2;133634-2;shrub or tree;Koanophyllon wetmorei;;S;;;VRAI;FAUX;;VRAI;Freestanding;Garwood2009;3145039;Koanophyllon wetmorei (B.L.Rob.) R.M.King & H.Rob.;EXACT;ACCEPTED;;3145039;Koanophyllon wetmorei (B.L.Rob.) R.M.King & H.Rob.;EXACT;ACCEPTED;
Kohleria tubiflora;Kohleria tubiflora;Garwood2009;(Cav.) Hanst.;;;(Cav.) Hanst.;Kohleria tubiflora;2336537;381638-1;Accepted;1;Kohleria tubiflora;Kohleria tubiflora;Gesneriaceae;(Cav.) Hanst.;2336537;381638-1;381638-1;subshrub or shrub;Kohleria tubiflora;;Hw;;;VRAI;FAUX;;FAUX;;Garwood2009;5592178;Kohleria tubiflora (Cav.) Hanst.;EXACT;ACCEPTED;;5592178;Kohleria tubiflora (Cav.) Hanst.;EXACT;ACCEPTED;
Kyllinga brevifolia;Kyllinga brevifolia;Garwood2009;Rottb.;;;Rottb.;Kyllinga brevifolia;251217;30020565-2;Synonym;1;Cyperus brevifolius;Cyperus brevifolius;Cyperaceae;(Rottb.) Hassk.;235892;30313989-2;30313989-2;perennial or rhizomatous geophyte;Kyllinga brevifolia;Cyperus brevifolius (Rottb.) Endl. ex Hassk.;Hw;;;VRAI;FAUX;;FAUX;;Garwood2009;2718737;Kyllinga brevifolia Rottb.;EXACT;SYNONYM;Cyperus brevifolius (Rottb.) Hassk.;2718767;Cyperus brevifolius (Rottb.) Hassk.;EXACT;ACCEPTED;
Kyllinga odorata;Kyllinga odorata var. odorata;Garwood2009;Vahl;;;Vahl;Kyllinga odorata;251393;309918-1;Synonym;1;Cyperus sesquiflorus subsp. sesquiflorus;Cyperus sesquiflorus;Cyperaceae;;251406;77172274-1;77172274-1;perennial or rhizomatous geophyte;Kyllinga odorata var. odorata;Cyperus sesquiflorus (Torr.) Mattf. & Kük.;Hw;;;VRAI;FAUX;;FAUX;;Garwood2009;2718760;Kyllinga odorata Vahl;EXACT;SYNONYM;Cyperus sesquiflorus subsp. sesquiflorus;9487825;Cyperus sesquiflorus subsp. sesquiflorus;EXACT;ACCEPTED;
Kyllinga pumila;Kyllinga pumila;Garwood2009;Michx.;;;Michx.;Kyllinga pumila;251435;134143-2;Synonym;1;Cyperus hortensis;Cyperus hortensis;Cyperaceae;(Salzm. ex Steud.) Dorr;495768;77144505-1;77144505-1;annual or perennial;Kyllinga pumila;Cyperus densicaespitosus Mattf. & Kük.;Hw;;;VRAI;FAUX;;FAUX;;Garwood2009;2718844;Kyllinga pumila Michx.;EXACT;SYNONYM;Cyperus hortensis (Salzm. ex Steud.) Dorr;9478376;Cyperus hortensis (Salzm. ex Steud.) Dorr;EXACT;ACCEPTED;
Lacistema aggregatum;Lacistema aggregatum;ForestGeo;(P.J. Bergius) Rusby;laciag;LACA;(P.J.Bergius) Rusby;Lacistema aggregatum;2348725;134457-2;Accepted;1;Lacistema aggregatum;Lacistema aggregatum;Lacistemataceae;(P.J.Bergius) Rusby;2348725;134457-2;134457-2;shrub or tree;Lacistema aggregatum;;U;;bci50ha, bci10ha, P11, AVA, P10, P12, P13, P18, gigante1, gigante2, gigante_plot;VRAI;FAUX;;VRAI;Freestanding;Garwood2009;3075397;Lacistema aggregatum (P.J.Bergius) Rusby;EXACT;ACCEPTED;;3075397;Lacistema aggregatum (P.J.Bergius) Rusby;EXACT;ACCEPTED;
Lacmellea panamensis;Lacmellea panamensis;ForestGeo;(Woodson) Markgr.;lacmpa;LACP;(Woodson) Markgr.;Lacmellea panamensis;106779;134499-2;Accepted;1;Lacmellea panamensis;Lacmellea panamensis;Apocynaceae;(Woodson) Markgr.;106779;134499-2;134499-2;tree;Lacmellea panamensis;;M;;bci50ha, bci10ha, bci25ha, P14, P11, Zetek, AVA, Drayton, Pearson, P10, P18, gigante1, gigante2, gigante_plot;VRAI;FAUX;;VRAI;Freestanding;Garwood2009;3617831;Lacmellea panamensis (Woodson) Markgr.;EXACT;ACCEPTED;;3617831;Lacmellea panamensis (Woodson) Markgr.;EXACT;ACCEPTED;
Laetia thamnia;Laetia thamnia;ForestGeo;L.;laetth;LAET;L.;Laetia thamnia;2922791;134767-2;Synonym;1;Casearia thamnia;Casearia thamnia;Salicaceae;(L.) T.Samar. & M.H.Alford;3238294;77197256-1;77197256-1;tree;Laetia thamnia;;U;;bci50ha, P14, P11, P10, P12, P13, P18, gigante1, gigante2, gigante_plot;VRAI;FAUX;;VRAI;Freestanding;Garwood2009;7946110;Laetia thamnia L.;EXACT;SYNONYM;Casearia thamnia (L.) T.Samar. & M.H.Alford;10825085;Casearia thamnia (L.) T.Samar. & M.H.Alford;EXACT;ACCEPTED;
Lafoensia punicifolia;Lafoensia punicifolia;ForestGeo;DC.;lafopu;LAFP;DC.;Lafoensia punicifolia;2354069;553519-1;Accepted;1;Lafoensia punicifolia;Lafoensia punicifolia;Lythraceae;DC.;2354069;553519-1;553519-1;tree;Lafoensia punicifolia;;T;;bci50ha, bci25ha, gigante_plot;VRAI;FAUX;;VRAI;Freestanding;Garwood2009;3989500;Lafoensia punicifolia Bertero ex DC.;EXACT;ACCEPTED;;3989500;Lafoensia punicifolia Bertero ex DC.;EXACT;ACCEPTED;
Lantana camara;Lantana camara;ForestGeo;L.;lantca;LANC;L.;Lantana camara;107934;325686-2;Accepted;1;Lantana camara;Lantana camara;Verbenaceae;L.;107934;325686-2;325686-2;subshrub or shrub;Lantana camara;Lantana camara L. sensu Croat (1978), in part;Hw;;;VRAI;FAUX;;VRAI;Freestanding;Garwood2009;2925303;Lantana camara L.;EXACT;ACCEPTED;;2925303;Lantana camara L.;EXACT;ACCEPTED;
Lantana urticifolia;Lantana urticifolia;Garwood2009;Mill.;;;Mill.;Lantana urticifolia;108335;325687-2;Synonym;1;Lantana camara subsp. camara;Lantana camara;Verbenaceae;;471328;77172346-1;77172346-1;subshrub or shrub;Lantana urticifolia;Lantana camara L. sensu Croat (1978), in part;Hw;;;VRAI;FAUX;;VRAI;;Garwood2009;2925331;Lantana urticifolia Mill.;EXACT;SYNONYM;Lantana camara subsp. camara;7686106;Lantana camara subsp. camara;EXACT;ACCEPTED;
Lasiacis oaxacensis;Lasiacis oaxacensis var. oaxacensis;Garwood2009;(Steud.) Hitchc.;;;;Lasiacis oaxacensis;421979;135710-2;Accepted;1;Lasiacis oaxacensis;Lasiacis oaxacensis;Poaceae;(Steud.) Hitchc. ex Chase;421979;135710-2;135710-2;perennial;Lasiacis oaxacensis var. oaxacensis;;Hw;;;VRAI;FAUX;;FAUX;;Garwood2009;4134977;Lasiacis oaxacensis (Steud.) Hitchc. ex Chase;EXACT;ACCEPTED;;4134977;Lasiacis oaxacensis (Steud.) Hitchc. ex Chase;EXACT;ACCEPTED;
Lasiacis procerrima;Lasiacis procerrima;Garwood2009;(Hack.) Hitchc.;;;(Hack.) Hitchc. ex Chase;Lasiacis procerrima;421983;135714-2;Accepted;1;Lasiacis procerrima;Lasiacis procerrima;Poaceae;(Hack.) Hitchc. ex Chase;421983;135714-2;135714-2;annual or perennial;Lasiacis procerrima;;Hw;;;VRAI;FAUX;;FAUX;;Garwood2009;4134928;Lasiacis procerrima (Hack.) Hitchc. ex Chase;EXACT;ACCEPTED;;4134928;Lasiacis procerrima (Hack.) Hitchc. ex Chase;EXACT;ACCEPTED;
Lasiacis sorghoidea;Lasiacis sorghoidea;Garwood2009;(Desv. ex Ham.) Hitch. & Chase;;;(Ham.) Hitchc. & Chase;Lasiacis sorghoidea;421991;135722-2;Synonym;1;Lasiacis maculata;Lasiacis maculata;Poaceae;(Aubl.) Urb.;421976;135707-2;135707-2;perennial;Lasiacis sorghoidea;Lasiacis sorghoidea (Desv. ex Ham.) Hitchc. & Chase var. sorghoidea;Hw;;;VRAI;FAUX;;FAUX;;Garwood2009;2702854;Lasiacis sorghoidea (Ham.) Hitchc. & Chase;EXACT;SYNONYM;Lasiacis maculata (Aubl.) Urb.;4135033;Lasiacis maculata (Aubl.) Urb.;EXACT;ACCEPTED;
Leersia hexandra;Leersia hexandra;Garwood2009;Sw.;;;Sw.;Leersia hexandra;422089;137026-2;Accepted;1;Leersia hexandra;Leersia hexandra;Poaceae;Sw.;422089;137026-2;137026-2;perennial or helophyte;Leersia hexandra;;Ha;;;VRAI;FAUX;;FAUX;;Garwood2009;2702901;Leersia hexandra Sw.;EXACT;ACCEPTED;;2702901;Leersia hexandra Sw.;EXACT;ACCEPTED;
Leochilus scriptus;Leochilus scriptus;Zotz;(Scheidw.) Rchb. f.;;;(Scheidw.) Rchb.f.;Leochilus scriptus;109411;1187272-2;Accepted;1;Leochilus scriptus;Leochilus scriptus;Orchidaceae;(Scheidw.) Rchb.f.;109411;1187272-2;1187272-2;pseudobulbous epiphyte;Leochilus scriptus;;E;Leochilus scriptus;;VRAI;FAUX;;FAUX;;Zotz;2803295;Leochilus scriptus (Scheidw.) Rchb.f.;EXACT;ACCEPTED;;2803295;Leochilus scriptus (Scheidw.) Rchb.f.;EXACT;ACCEPTED;
Lepidagathis alopecuroidea;Lepidagathis alopecuroidea;Garwood2009;(Vahl) R. Br. Ex Griseb.;;;(Vahl) R.Br. ex Griseb.;Lepidagathis alopecuroidea;2342033;51951-1;Accepted;1;Lepidagathis alopecuroidea;Lepidagathis alopecuroidea;Acanthaceae;(Vahl) R.Br. ex Griseb.;2342033;51951-1;51951-1;subshrub;Lepidagathis alopecuroidea;Teliostachya alopecuroidea (Vahl) Nees;H;;;VRAI;FAUX;;FAUX;;Garwood2009;3172921;Lepidagathis alopecuroidea (Vahl) R.Br. ex Griseb.;EXACT;ACCEPTED;;3172921;Lepidagathis alopecuroidea (Vahl) R.Br. ex Griseb.;EXACT;ACCEPTED;
Lepidaploa canescens;Lepidaploa canescens;Garwood2009;(Kunth) H. Rob.;;;(Kunth) H.Rob.;Lepidaploa canescens;3051383;948489-1;Accepted;1;Lepidaploa canescens;Lepidaploa canescens;Asteraceae;(Kunth) H.Rob.;3051383;948489-1;948489-1;scrambling shrub or liana;Lepidaploa canescens;Vernonia canescens Kunth;Sw;;;VRAI;FAUX;;FAUX;;Garwood2009;3099738;Lepidaploa canescens (Kunth) H.Rob.;EXACT;ACCEPTED;;3099738;Lepidaploa canescens (Kunth) H.Rob.;EXACT;ACCEPTED;
Leptochloa virgata;Leptochloa virgata;Garwood2009;(L.) P.Beauv.;;;(L.) P.Beauv.;Leptochloa virgata;422359;407181-1;Accepted;1;Leptochloa virgata;Leptochloa virgata;Poaceae;(L.) P.Beauv.;422359;407181-1;407181-1;perennial or annual;Leptochloa virgata;;Hw;;;VRAI;FAUX;;FAUX;;Garwood2009;2703885;Leptochloa virgata (L.) P.Beauv.;EXACT;ACCEPTED;;2703885;Leptochloa virgata (L.) P.Beauv.;EXACT;ACCEPTED;
Leucaena multicapitula;Leucaena multicapitula;ForestGeo;Schery;leucmu;LEUM;Schery;Leucaena multicapitula;2346334;138958-2;Accepted;1;Leucaena multicapitula;Leucaena multicapitula;Fabaceae;Schery;2346334;138958-2;138958-2;tree;Leucaena multicapitula;;M;;;VRAI;FAUX;;VRAI;Freestanding;Garwood2009;2970407;Leucaena multicapitula Schery;EXACT;ACCEPTED;;2970407;Leucaena multicapitula Schery;EXACT;ACCEPTED;
Licania hypoleuca;Licania hypoleuca;ForestGeo;Benth.;licahy;LICH;Benth.;Licania hypoleuca;353737;726057-1;Accepted;1;Licania hypoleuca;Licania hypoleuca;Chrysobalanaceae;Benth.;353737;726057-1;726057-1;tree;Licania hypoleuca;;M;;bci50ha, bci25ha, Drayton, gigante1, gigante2, gigante_plot;VRAI;FAUX;;VRAI;Freestanding;Garwood2009;2985272;Licania hypoleuca Benth.;EXACT;ACCEPTED;;2985272;Licania hypoleuca Benth.;EXACT;ACCEPTED;
Limnobium laevigatum;Limnobium laevigatum;Garwood2009;(Humb. & Bonpl. ex Willd.) Heine;;;(Humb. & Bonpl. ex Willd.) Heine;Limnobium laevigatum;308200;431836-1;Synonym;1;Hydrocharis laevigata;Hydrocharis laevigata;Hydrocharitaceae;(Humb. & Bonpl. ex Willd.) Byng & Christenh.;529752;77182334-1;77182334-1;helophyte;Limnobium laevigatum;"Hydromystria laevigata (Humb. & Bonpl. ex Willd.) Hunz. (Novelo & Lot 1994, Correa et al. 2004) ; Limnobium stoloniferum (G.Mey.) Griseb. (Croat 1978); Limnobium spongia ssp. laevigatum (H. & B. ex Willd.) Lowden (comb. nov., 1990)";Ha;;;VRAI;FAUX;;FAUX;;Garwood2009;5329643;Limnobium laevigatum (Humb. & Bonpl. ex Willd.) Heine;EXACT;SYNONYM;Hydrocharis laevigata (Humb. & Bonpl. ex Willd.) Byng & Christenh.;11055820;Hydrocharis laevigata (Humb. & Bonpl. ex Willd.) Byng & Christenh.;EXACT;ACCEPTED;
Lindackeria laurina;Lindackeria laurina;ForestGeo;C. Presl;lindla;LINL;C.Presl;Lindackeria laurina;2922734;111811-1;Accepted;1;Lindackeria laurina;Lindackeria laurina;Achariaceae;C.Presl;2922734;111811-1;111811-1;tree;Lindackeria laurina;;M;;bci50ha, bci10ha, bci25ha, P14, P11, Zetek, Drayton, Pearson, P10, P12, P13, gigante2, gigante_plot;VRAI;FAUX;;VRAI;Freestanding;Garwood2009;3879668;Lindackeria laurina C.Presl;EXACT;ACCEPTED;;3879668;Lindackeria laurina C.Presl;EXACT;ACCEPTED;
Lindernia crustacea;Lindernia crustacea;Garwood2009;(L.) F. Muell.;;;(L.) F.Muell.;Lindernia crustacea;2498922;805110-1;Synonym;1;Torenia crustacea;Torenia crustacea;Linderniaceae;(L.) Cham. & Schltdl.;2520364;1189750-2;1189750-2;annual;Lindernia crustacea;;Hw;;;VRAI;FAUX;;FAUX;;Garwood2009;3171890;Lindernia crustacea (L.) F.Muell.;EXACT;SYNONYM;Torenia crustacea (L.) Cham. & Schltdl.;3171892;Torenia crustacea (L.) Cham. & Schltdl.;EXACT;ACCEPTED;
Lindernia diffusa;Lindernia diffusa;Garwood2009;(L.) Wettst.;;;(L.) Wettst.;Lindernia diffusa;2498938;140516-2;Synonym;1;Vandellia diffusa;Vandellia diffusa;Linderniaceae;L.;2454641;262512-2;262512-2;annual or subshrub;Lindernia diffusa;;Hw;;;VRAI;FAUX;;FAUX;;Garwood2009;3171880;Lindernia diffusa (L.) Wettst.;EXACT;SYNONYM;Vandellia diffusa L.;5414978;Vandellia diffusa L.;EXACT;ACCEPTED;
Liparis nervosa;Liparis nervosa;Zotz;;;;(Thunb.) Lindl.;Liparis nervosa;113032;641061-1;Accepted;1;Liparis nervosa;Liparis nervosa;Orchidaceae;(Thunb.) Lindl.;113032;641061-1;641061-1;pseudobulbous geophyte or lithophyte;Liparis elata;Liparis nervosa (Thunb. ex Murray) Lindl. sensu Correa et al. (2004), Dressler (1980);H;Liparis nervosa;;VRAI;FAUX;;FAUX;;Zotz;5322999;Liparis nervosa (Thunb.) Lindl.;EXACT;ACCEPTED;;5322999;Liparis nervosa (Thunb.) Lindl.;EXACT;ACCEPTED;
Lithachne pauciflorus;Lithachne pauciflorus;Garwood2009;(Sw.) P.Beauv.;;;(Sw.) P.Beauv.;Lithachne pauciflora;422731;407386-1;Accepted;0.905;Lithachne pauciflora;Lithachne pauciflora;Poaceae;(Sw.) P.Beauv.;422731;407386-1;407386-1;herbaceous bamboo;Lithachne pauciflorus;"Lithachne pauciflora, orth. var. (Croat 1978; Correa et al. 2004)";H;;;VRAI;FAUX;;FAUX;;Garwood2009;2703323;Lithachne pauciflora (Sw.) P.Beauv.;EXACT;ACCEPTED;;2703323;Lithachne pauciflora (Sw.) P.Beauv.;EXACT;ACCEPTED;
Lockhartia acuta;Lockhartia acuta;Zotz;(Lindl.) Rchb.f.;;;(Lindl.) Rchb.f.;Lockhartia acuta;115011;641704-1;Accepted;1;Lockhartia acuta;Lockhartia acuta;Orchidaceae;(Lindl.) Rchb.f.;115011;641704-1;641704-1;epiphyte;Lockhartia acuta;;E;Lockhartia acuta;;VRAI;FAUX;;FAUX;;Zotz;5307762;Lockhartia acuta (Lindl.) Rchb.f.;EXACT;ACCEPTED;;5307762;Lockhartia acuta (Lindl.) Rchb.f.;EXACT;ACCEPTED;
Lockhartia pittieri;Lockhartia pittieri;Zotz;Schltr.;;;Schltr.;Lockhartia pittieri;115049;142889-2;Synonym;1;Lockhartia parthenoglossa;Lockhartia parthenoglossa;Orchidaceae;Rchb.f.;115048;641735-1;641735-1;epiphyte;Lockhartia pittieri;;E;Lockhartia pittieri;;VRAI;FAUX;;FAUX;;Zotz;5307760;Lockhartia pittieri Schltr.;EXACT;SYNONYM;Lockhartia parthenoglossa Rchb.f.;5542862;Lockhartia parthenoglossa Rchb.f.;EXACT;ACCEPTED;
Lomariopsis vestita;Lomariopsis vestita;Zotz;E.Fourn.;;;Fourn.;Lomariopsis vestita;3153007;17141610-1;Accepted;1;Lomariopsis vestita;Lomariopsis vestita;Polypodiaceae;Fourn.;3153007;17141610-1;17141610-1;;Lomariopsis vestita;;E;Lomariopsis vestita;;VRAI;FAUX;;FAUX;;Zotz;4012634;Lomariopsis vestita E.Fourn.;EXACT;ACCEPTED;;4012634;Lomariopsis vestita E.Fourn.;EXACT;ACCEPTED;
Lonchocarpus ferrugineus;Lonchocarpus ferrugineus;ForestGeo;M. Sousa;loncfe;;M.Sousa;Lonchocarpus ferrugineus;2346050;279808-2;Accepted;1;Lonchocarpus ferrugineus;Lonchocarpus ferrugineus;Fabaceae;M.Sousa;2346050;279808-2;279808-2;tree;Lonchocarpus ferrugineus;;T;;;VRAI;FAUX;;VRAI;Freestanding;Garwood2009;2969106;Lonchocarpus ferrugineus M.Sousa;EXACT;ACCEPTED;;2969106;Lonchocarpus ferrugineus M.Sousa;EXACT;ACCEPTED;
Lonchocarpus heptaphyllus;Lonchocarpus heptaphyllus;ForestGeo;(Poir.) DC.;loncla;LONL;(Poir.) DC.;Lonchocarpus heptaphyllus;2346096;502971-1;Accepted;1;Lonchocarpus heptaphyllus;Lonchocarpus heptaphyllus;Fabaceae;(Poir.) DC.;2346096;502971-1;502971-1;tree;Lonchocarpus heptaphyllus;"Lonchocarpus pentaphyllus (Poir.) Kunth ex DC.; Lonchocarpus pentaphyllus sensu Croat (1978), in part; Lonchocarpus latifolius Kunth ex DC.";T;;bci50ha, bci10ha, bci25ha, P11, Zetek, AVA, Drayton, Pearson, P10, P12, P18, gigante1, gigante2, gigante_plot;VRAI;FAUX;;VRAI;Freestanding;Garwood2009;2969089;Lonchocarpus heptaphyllus (Poir.) DC.;EXACT;ACCEPTED;;2969089;Lonchocarpus heptaphyllus (Poir.) DC.;EXACT;ACCEPTED;
