current_binomial;current_name;source_current_name;current_authority;sp6;sp4;wcvp_matched_authors;wcvp_matched_name;wcvp_matched_plant_name_id;wcvp_matched_ipni_id;wcvp_matched_status;wcvp_match_similarity;wcvp_accepted_name;wcvp_accepted_binomial;wcvp_accepted_family;wcvp_accepted_authority;wcvp_accepted_plant_name_id;wcvp_accepted_powo_id;wcvp_accepted_ipni_id;wcvp_accepted_lifeform;garwood_name;garwood_synonyms;garwood_lifeform;zotz_name;census_plot;BCI;garwood_BCNM;liana_name;woody_forestgeo;forestgeo_habit;source_list;wcvp_matched_name_gbif_id;wcvp_matched_name_gbif_scientificName;wcvp_matched_name_gbif_matchtype;wcvp_matched_name_gbif_status;wcvp_matched_name_gbif_acceptedScientificName;wcvp_accepted_name_gbif_id;wcvp_accepted_name_gbif_scientificName;wcvp_accepted_name_gbif_matchtype;wcvp_accepted_name_gbif_status;wcvp_accepted_name_gbif_acceptedScientificName
Combretum cacoucia;Combretum cacoucia;ForestGeo;Exell;combca;COMC;Exell ex Sandwith;Combretum cacoucia;2732469;63781-2;Accepted;1;Combretum cacoucia;Combretum cacoucia;Combretaceae;Exell ex Sandwith;2732469;63781-2;63781-2;climber;Combretum cacoucia;;L;;;VRAI;FAUX;;VRAI;Climbing;Garwood2009;8396259;Combretum cacoucia (Baill.) Exell ex Sandwith;EXACT;ACCEPTED;;8396259;Combretum cacoucia (Baill.) Exell ex Sandwith;EXACT;ACCEPTED;
Combretum decandrum;Combretum decandrum;ForestGeo;Jacq.;combde;COMD;Jacq.;Combretum decandrum;2732534;170030-1;Accepted;1;Combretum decandrum;Combretum decandrum;Combretaceae;Jacq.;2732534;170030-1;170030-1;climbing shrub;Combretum decandrum;;L;;;VRAI;FAUX;Combretum decandrum;VRAI;Climbing;Garwood2009;3699211;Combretum decandrum Jacq.;EXACT;ACCEPTED;;3699211;Combretum decandrum Jacq.;EXACT;ACCEPTED;
Combretum fruticosum;Combretum fruticosum;ForestGeo;(Loefl.) Stuntz;combfr;COMF;(Loefl.) Stuntz;Combretum fruticosum;2732604;63788-2;Accepted;1;Combretum fruticosum;Combretum fruticosum;Combretaceae;(Loefl.) Stuntz;2732604;63788-2;63788-2;scrambling shrub or tree;Combretum fruticosum;;L;;;VRAI;FAUX;Combretum fruticosum;VRAI;Climbing;Garwood2009;3698513;Combretum fruticosum (Loefl.) Stuntz;EXACT;ACCEPTED;;3698513;Combretum fruticosum (Loefl.) Stuntz;EXACT;ACCEPTED;
Combretum laxum;Combretum laxum;ForestGeo;Jacq.;combla;COML;Jacq.;Combretum laxum;2732736;170216-1;Accepted;1;Combretum laxum;Combretum laxum;Combretaceae;Jacq.;2732736;170216-1;170216-1;scrambling shrub;Combretum laxum var. laxum;;L;;;VRAI;FAUX;Combretum laxum;VRAI;Climbing;Garwood2009;7908521;Combretum laxum Jacq.;EXACT;ACCEPTED;;7908521;Combretum laxum Jacq.;EXACT;ACCEPTED;
Commelina erecta;Commelina erecta;Garwood2009;L.;;;L.;Commelina erecta;233875;172048-1;Accepted;1;Commelina erecta;Commelina erecta;Commelinaceae;L.;233875;172048-1;172048-1;perennial or tuberous geophyte;Commelina erecta;;H;;;VRAI;FAUX;;FAUX;;Garwood2009;2764389;Commelina erecta L.;EXACT;ACCEPTED;;2764389;Commelina erecta L.;EXACT;ACCEPTED;
Commelina rufipes;Commelina rufipes var. glabrata;Garwood2009;Seub.;;;(D.R.Hunt) Faden & D.R.Hunt;Commelina rufipes;234159;63910-2;Accepted;1;Commelina rufipes;Commelina rufipes;Commelinaceae;Seub.;234159;63910-2;63910-2;perennial;Commelina rufipes var. glabrata;"Phaeosphaerion persicariifolium (Delile) C.B.Clarke sensu Fl. Pan. (1944), in part; sensu Standl. & Steyerm. 1952 (Fl. Guat.)";H;;;VRAI;FAUX;;FAUX;;Garwood2009;2763970;Commelina rufipes Seub.;EXACT;ACCEPTED;;2763970;Commelina rufipes Seub.;EXACT;ACCEPTED;
Connarus panamensis;Connarus panamensis;ForestGeo;Griseb.;connpa;CONP;Griseb.;Connarus panamensis;2734380;264457-1;Accepted;1;Connarus panamensis;Connarus panamensis;Connaraceae;Griseb.;2734380;264457-1;264457-1;scrambling tree;Connarus panamensis;;L;;;VRAI;FAUX;Connarus panamensis;VRAI;Climbing;Garwood2009;7999411;Connarus panamensis Griseb.;EXACT;ACCEPTED;;7999411;Connarus panamensis Griseb.;EXACT;ACCEPTED;
Connarus turczaninowii;Connarus turczaninowii;ForestGeo;Triana & Planch.;conntu;CONT;Triana & Planch.;Connarus turczaninowii;2734469;64219-2;Accepted;1;Connarus turczaninowii;Connarus turczaninowii;Connaraceae;Triana & Planch.;2734469;64219-2;64219-2;climbing shrub;Connarus turczaninowii;;L;;;VRAI;FAUX;Connarus turczaninowii;VRAI;Climbing;Garwood2009;3686802;Connarus turczaninowii Triana & Planch.;EXACT;ACCEPTED;;3686802;Connarus turczaninowii Triana & Planch.;EXACT;ACCEPTED;
Conyza bonariensis;Conyza bonariensis;Garwood2009;(L.) Cronquist;;;(L.) Cronquist;Conyza bonariensis;3215445;64809-2;Synonym;1;Erigeron bonariensis;Erigeron bonariensis;Asteraceae;L.;3104918;93603-2;93603-2;annual;Conyza bonariensis;;Hw;;;VRAI;FAUX;;FAUX;;Garwood2009;5404795;Conyza bonariensis (L.) Cronquist;EXACT;SYNONYM;Erigeron bonariensis L.;3146717;Erigeron bonariensis L.;EXACT;ACCEPTED;
Conyza laevigata;Conyza laevigata;Garwood2009;(Rich.) Pruski;;;(Rich.) Pruski;Conyza laevigata;3105679;1005998-1;Synonym;1;Erigeron laevigatus;Erigeron laevigatus;Asteraceae;Rich.;3105682;317025-2;317025-2;annual;Conyza laevigata;"Conyza apurensis Kunth (Croat 1978; Correa et al. 2004)";Hw;;;VRAI;FAUX;;FAUX;;Garwood2009;5398196;Conyza laevigata (Rich.) Pruski;EXACT;SYNONYM;Erigeron laevigatus Rich.;3126342;Erigeron laevigatus Rich.;EXACT;ACCEPTED;
Copaifera aromatica;Copaifera aromatica;ForestGeo;Dwyer;copaar;COPA;Dwyer;Copaifera aromatica;2735810;64893-2;Accepted;1;Copaifera aromatica;Copaifera aromatica;Fabaceae;Dwyer;2735810;64893-2;64893-2;tree;Copaifera aromatica;;;;gigante1, gigante2, gigante_plot;FAUX;VRAI;;VRAI;Freestanding;Garwood2009;2978137;Copaifera aromatica Dwyer;EXACT;ACCEPTED;;2978137;Copaifera aromatica Dwyer;EXACT;ACCEPTED;
