type,label,value
species,Coccoloba manzinellensis-COCCMA-COCM,4037724
species,Coccoloba padiformis-COCCPA,4036806
species,Cochlospermum vitifolium-COCHVI-COCV,2874865
species,Cocos nucifera-COCONU,2735117
species,Codiaeum variegatum-CODIVA,3071476
species,Codonanthe crassifolia,3824299
species,Codonanthe uleana,6365719
species,Cojoba rufescens-PIT1RU-PITR,2981328
species,Colubrina glandulosa-COLUGL-COLG,5372466
species,Columnea billbergiana,5591253
species,Columnea purpurata,5588997
species,Combretum cacoucia-COMBCA-COMC,8396259
species,Combretum decandrum-COMBDE-COMD,3699211
species,Combretum fruticosum-COMBFR-COMF,3698513
species,Combretum laxum-COMBLA-COML,7908521
species,Commelina erecta,2764389
species,Commelina rufipes,2763970
species,Connarus panamensis-CONNPA-CONP,7999411
species,Connarus turczaninowii-CONNTU-CONT,3686802
species,Conyza bonariensis,5404795
species,Conyza laevigata,5398196
species,Copaifera aromatica-COPAAR-COPA,2978137
species,Corchorus siliquosus,3152091
species,Cordia alliodora-CORDAL-CORA,7649215
species,Cordia bicolor-CORDBI-CORB,5660135
species,Cordia lasiocalyx-CORDLA-CORL,5661744
species,Cordia panamensis-CORDPA-CORP,5341268
species,Cordyline fruticosa,2766278
species,Coryanthes hunteriana,2795653
species,Cosmibuena macrocarpa-COSMMA,5334661
species,Costus allenii,2756810
species,Costus glaucus,2756862
species,Costus guanaiensis,2756961
species,Costus laevis,2756834
species,Costus lasius,2756941
species,Costus pulverulentus,2756847
species,Costus scaber,2756885
species,Costus villosissimus,2756895
species,Couratari guianensis-COURPA-COUP,3083111
species,Coussapoa asperifolia,7316403
species,Coussapoa villosa-COUSVI-COU2,7316428
species,Coussarea suaveolens-COU2CU-COUC,12185704
species,Coutarea hexandra-COUTHE-COUH,2893703
species,Crateva tapia-CRATTA,3054262
species,Crinum erubescens,2853616
species,Crossopetalum parviflorum-CROSPA-CRO3,5580184
species,Crotalaria cajanifolia,2942793
species,Crotalaria retusa,2942610
species,Croton billbergianus-CROTBI-CROB,3059312
species,Croton draco-CROTDR-CROP,3058297
species,Croton hirtus,3058942
species,Croton schiedeanus-CROTSC,3060306
species,Cryosophila warscewiczii-CRYOWA-CRYW,2731949
species,Ctenitis sloanei,2650909
species,Cuervea kappleriana-CUERKA-CUEK,3792999
species,Cupania cinerea-CUPACI-CUPC,3785984
species,Cupania latifolia-CUPALA-CUPL,3785309
species,Cupania rufescens-CUPARU-CUPR,3784726
species,Cupania scrobiculata-CUPASC-CUP2,7802452
species,Cupania seemannii-CUPASY-CUPS,7264754
species,Cuphea carthagenensis,3188685
species,Cyanthillium cinereum,6445734
species,Cyathea bicrenata,3600519
species,Cyathea microdonta,3600004
species,Cyathea petiolata-CNEMPE-CNEP,3598477
species,Cyathula prostrata,5384314
species,Cyclanthus bipartitus,2861108
species,Cyclopeltis semicordata,2651219
species,Cymbosema roseum-CYMBRO-CYMR,2944792
species,Cynanchum peraffine-CYNACU-CYNC,3170388
species,Cynodon dactylon,6109637
species,Cynometra bauhiniifolia-CYNOBA-CYNB,2966847
species,Cyperus giganteus,2714554
species,Cyperus haspan,2715828
species,Cyperus laxus,2713471
species,Cyperus luzulae,2714679
